Game_Name,Rating,#Reviews,Rabatt%,OrdinariePris,Sale_Price,Release_Year,Win,linux,OSX,Date
EA SPORTS™ FIFA 23 ,2,"#38,052",-60%,"69,99€","27,99€            ","29 Sep, 2022",1,0,0,21 Dec 2022
God of War ,5,"#55,273",-40%,"49,99€","29,99€            ","14 Jan, 2022",1,0,0,21 Dec 2022
Cities: Skylines ,4,"#159,287",-70%,"27,99€","8,39€             ","10 Mar, 2015",1,1,1,21 Dec 2022
UNCHARTED™: Legacy of Thieves Collection ,4,"#4,543",-30%,"49,99€","34,99€            ","19 Oct, 2022",1,0,0,21 Dec 2022
Deep Rock Galactic ,5,"#138,398",-67%,"29,99€","9,90€             ","13 May, 2020",1,0,0,21 Dec 2022
Assassin's Creed Valhalla ,2,"#2,781",-67%,"59,99€","19,80€            ","6 Dec, 2022",1,0,0,21 Dec 2022
Hearts of Iron IV ,4,"#151,882",-75%,"39,99€","9,99€             ","6 Jun, 2016",1,1,1,21 Dec 2022
Dying Light 2 Stay Human ,3,"#92,649",-50%,"59,99€","29,99€            ","3 Feb, 2022",1,0,0,21 Dec 2022
FINAL FANTASY VII REMAKE INTERGRADE ,4,"#9,386",-43%,"79,99€","45,59€            ","17 Jun, 2022",1,0,0,21 Dec 2022
Detroit: Become Human ,4,"#59,089",-50%,"39,90€","19,95€            ","18 Jun, 2020",1,0,0,21 Dec 2022
Days Gone ,4,"#32,001",-67%,"49,99€","16,49€            ","17 May, 2021",1,0,0,21 Dec 2022
TEKKEN 7 ,4,"#53,964",-85%,"39,99€","5,99€             ","1 Jun, 2017",1,0,0,21 Dec 2022
Sonic Frontiers ,5,"#10,340",-30%,"59,99€","41,99€            ","7 Nov, 2022",1,0,0,21 Dec 2022
Wartales ,4,"#7,631",-25%,"34,99€","26,24€            ","1 Dec, 2021",1,0,0,21 Dec 2022
New World ,2,"#211,358",-50%,"39,99€","19,99€            ","28 Sep, 2021",1,0,0,21 Dec 2022
Planet Zoo ,4,"#53,313",-75%,"44,99€","11,24€            ","5 Nov, 2019",1,0,0,21 Dec 2022
Little Nightmares II ,4,"#19,919",-67%,"29,99€","9,89€             ","10 Feb, 2021",1,0,0,21 Dec 2022
Marvel’s Spider-Man Remastered ,5,"#36,373",-25%,"59,99€","44,99€            ","12 Aug, 2022",1,0,0,21 Dec 2022
House Flipper ,4,"#61,099",-80%,"20,99€","4,19€             ","17 May, 2018",1,0,1,21 Dec 2022
Assassin's Creed® Odyssey ,4,"#117,452",-75%,"59,99€","14,99€            ","5 Oct, 2018",1,0,0,21 Dec 2022
NBA 2K23 ,2,"#9,488",-50%,"79,99€","39,99€            ","8 Sep, 2022",1,0,0,21 Dec 2022
Divinity: Original Sin 2 - Definitive Edition ,5,"#134,506",-65%,"44,99€","15,74€            ","14 Sep, 2017",1,0,1,21 Dec 2022
Hunt: Showdown - Starter Hunter Edition ,4,"#115,909",-57%,"56,97€","24,70€            ",,1,0,0,21 Dec 2022
Mount & Blade II: Bannerlord ,4,"#166,337",-30%,"49,99€","34,99€            ","25 Oct, 2022",1,0,0,21 Dec 2022
Anno 1800 ,3,"#4,498",-67%,"59,99€","19,80€            ",Apr 2019,1,0,0,21 Dec 2022
Assassin's Creed® Origins ,4,"#77,041",-80%,"59,99€","11,99€            ","26 Oct, 2017",1,0,0,21 Dec 2022
Planet Zoo: Ultimate Edition ,4,"#55,335",-57%,"176,86","€75,82€           ",,1,0,0,21 Dec 2022
Little Nightmares ,4,"#33,473",-75%,"19,99€","4,99€             ","27 Apr, 2017",1,0,0,21 Dec 2022
Orcs Must Die! 3 ,4,"#6,852",-75%,"24,99€","6,24€             ","23 Jul, 2021",1,0,0,21 Dec 2022
FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION ,4,"#33,631",-50%,"39,98€","19,98€            ",,1,0,0,21 Dec 2022
Dying Light ,5,"#256,336",-70%,"29,99€","8,99€             ","21 Apr, 2016",1,1,1,21 Dec 2022
Immortals Fenyx Rising ,2,#207,-75%,"59,99€","15,--€            ","15 Dec, 2022",1,0,0,21 Dec 2022
Tales of Arise ,4,"#20,034",-60%,"79,99€","31,99€            ","9 Sep, 2021",1,0,0,21 Dec 2022
CODE VEIN ,4,"#33,491",-85%,"49,99€","7,49€             ","26 Sep, 2019",1,0,0,21 Dec 2022
ACE COMBAT™ 7: SKIES UNKNOWN ,4,"#24,229",-84%,"59,99€","9,59€             ","31 Jan, 2019",1,0,0,21 Dec 2022
FINAL FANTASY XII THE ZODIAC AGE ,4,"#5,314",-50%,"49,99€","24,99€            ","1 Feb, 2018",1,0,0,21 Dec 2022
FINAL FANTASY XV WINDOWS EDITION ,4,"#32,984",-50%,"34,99€","17,49€            ","6 Mar, 2018",1,0,0,21 Dec 2022
NARAKA: BLADEPOINT ,3,"#117,333",-50%,"19,99€","9,99€             ","11 Aug, 2021",1,0,0,21 Dec 2022
Vampire Survivors: Legacy of the Moonspell ,5,"#1,123",-10%,"1,99€1",",79€              ","15 Dec, 2022",1,0,1,21 Dec 2022
Little Nightmares I & II ,4,"#54,481",-78%,"63,93€","14,13€            ",,1,0,0,21 Dec 2022
OCTOPATH TRAVELER™ ,4,"#9,031",-60%,"59,99€","23,99€            ","7 Jun, 2019",1,0,0,21 Dec 2022
Tomb Raider Collection ,4,"#304,664",-85%,"357,47","€52,17€           ",,1,0,0,21 Dec 2022
Pathologic Darkness ,4,"#18,834",-39%,"43,98€","26,78€            ",,1,0,0,21 Dec 2022
Marvel's Guardians of the Galaxy ,4,"#18,487",-65%,"59,99€","20,99€            ","26 Oct, 2021",1,0,0,21 Dec 2022
The Dark Pictures Anthology: Man of Medan ,3,"#6,046",-67%,"19,99€","6,59€             ","29 Aug, 2019",1,0,0,21 Dec 2022
PGA TOUR 2K23 x NBA 2K23 Bundle ,2,"#10,144",-50%,"79,99€","39,99€            ","13 Dec, 2022",1,0,0,21 Dec 2022
Frostpunk ,4,"#70,792",-75%,"29,99€","7,49€             ","24 Apr, 2018",1,0,1,21 Dec 2022
Life is Strange: True Colors ,4,"#8,436",-60%,"59,99€","23,99€            ","9 Sep, 2021",1,0,0,21 Dec 2022
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 ,4,"#57,895",-80%,"29,99€","5,99€             ","4 Feb, 2016",1,0,0,21 Dec 2022
Orcs Must Die! 3 Complete Bundle ,4,"#7,060",-78%,"38,17€","8,58€             ",,1,0,0,21 Dec 2022
Among Us ,4,"#569,379",-25%,"3,99€2",",99€              ","16 Nov, 2018",1,0,0,21 Dec 2022
Len's Island ,4,"#1,770",-40%,"20,99€","12,59€            ","26 Nov, 2021",1,0,1,21 Dec 2022
The Flipper Bundle ,4,"#62,884",-57%,"75,11€","32,09€            ",,1,0,1,21 Dec 2022
Heart Machine Bundle ,4,"#12,795",-33%,"53,98€","36,30€            ",,1,0,0,21 Dec 2022
GTFO ,4,"#32,109",-30%,"39,99€","27,99€            ","9 Dec, 2021",1,0,0,21 Dec 2022
Vampire Survivors: Game + DLC Bundle ,5,"#163,015",-22%,"6,98€5",",42€              ",,1,0,1,21 Dec 2022
Cities: Skylines - Plazas & Promenades ,2,#236,-20%,"14,99€","11,99€            ","14 Sep, 2022",1,1,1,21 Dec 2022
My Friend Pedro ,5,"#21,463",-75%,"19,50€","4,87€             ","20 Jun, 2019",1,0,0,21 Dec 2022
Just Cause™ 3 ,4,"#85,141",-85%,"19,99€","2,99€             ","30 Nov, 2015",1,0,0,21 Dec 2022
Construction Simulator ,4,"#3,322",-20%,"39,99€","31,99€            ","20 Sep, 2022",1,0,0,21 Dec 2022
Divinity: Original Sin - Enhanced Edition ,4,"#18,352",-65%,"39,99€","13,99€            ","27 Oct, 2015",1,1,1,21 Dec 2022
Expansion - Hearts of Iron IV: No Step Back ,3,"#2,536",-20%,"19,99€","15,99€            ","23 Nov, 2021",1,1,1,21 Dec 2022
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy ,4,"#74,239",-67%,"136,92","€45,57€           ",,1,0,0,21 Dec 2022
DRAGON BALL Z: KAKAROT ,4,"#28,330",-75%,"59,99€","14,99€            ","16 Jan, 2020",1,0,0,21 Dec 2022
PowerWash Simulator ,5,"#27,717",-15%,"24,99€","21,24€            ","14 Jul, 2022",1,0,0,21 Dec 2022
SUPERHOT ONE OF US BUNDLE ,4,"#28,298",-70%,"47,98€","14,35€            ",,1,1,1,21 Dec 2022
